paper-id,dataset,provenance,numConfigurations(KG),location,repository,expected format,approx size,license,collectable,notes
bartok2010,ds-Si-bartok2010,InHouse,,none,,,,,no,"No data URL or deposit statement in paper or arXiv SI (2010-era); Si/Ge random-displacement DFT configs never published."
bartok2018si,ds-Si-bartok2018,InHouse,2475,https://doi.org/10.17863/CAM.65004,"Apollo (Univ. of Cambridge)","extxyz (gp_iter6_sparse9k.xml.xyz, 47 MB, inside Si_PRX_GAP.zip)",87 MB zip,GPL-3.0,yes,"Canonical deposit per libatoms.github.io/GAP/data.html; GitHub mirror libAtoms/silicon-testing-framework models/GAP. KG provenance says InHouse but the DB is published — see lysogorskiy2021ace row."
batatia2022,ds-rMD17,Published,1000,https://doi.org/10.6084/m9.figshare.12672038,figshare,"npz per molecule (10 molecules) in rmd17.tar.bz2 + train/test split CSVs",1.07 GB,CC0,yes,"Third-party corpus (Christensen & von Lilienfeld 2020); Materials Cloud mirror 10.24435/materialscloud:wy-kn."
batatia2024mp0,ds-MPtrj-batatia2024mp0,Published,1500000,https://github.com/ACEsuit/mace-mp/releases/download/mace_mp_0/training_data.zip,"GitHub Releases (ACEsuit/mace-foundations, tag mace_mp_0)","extxyz (mptrj-gga-ggapu train/valid repackaging of MPtrj)",1.62 GB,MIT,yes,"MACE-MP-0's own extxyz copy of MPtrj; URL 301-redirects to the migrated mace-foundations repo."
batzner2022,ds-water-ice,Published,133,none,,,,,no,"Exact 133-frame water/ice training subset never published; sampled from the 140k-frame PBE0-TS set of Zhang 2018 PRL / Ko 2019 Mol. Phys., hosted on the now-dead DP library (dplibrary.deepmd.net). Paper's Materials Cloud deposit (materialscloud:s0-5n) covers only formate-on-Cu/LiPS/LiPO — other KG-uncovered datasets."
behler2007,ds-Si-behler2007,InHouse,9000,none,,,,,no,"No data statement or URL in the 2007 PRL; never deposited."
chen2022,ds-MPF-2021-2-8,Published,187687,https://doi.org/10.6084/m9.figshare.19470599,figshare,"Python pickle (block_0.p + block_1.p; pickled pandas/pymatgen structures)",1.17 GB,CC BY 4.0,yes,"Paper's data-availability DOI; v3 (2022-09-24). Pickle (not JSON) — loading requires pymatgen/monty."
deng2023,ds-MPtrj,Published,1580395,https://doi.org/10.6084/m9.figshare.23713842,figshare,"single JSON (MPtrj_2022.9_full.json)",12.19 GB,MIT,yes,"Published-version data-availability DOI (v2, 2023-08-25); preprint said 'released after review'."
eckhoff2021spin,ds-MnO-eckhoff2021,InHouse,3101,none,,"(would be RuNNer-format HSE06 data)",,,no,"'Available from the corresponding author on reasonable request'; no later public deposit found. Collectable only by emailing the Behler group."
gubaev2023,ds-TaVCrW,InHouse,6711,https://doi.org/10.18419/darus-3516,"DaRUS (Univ. of Stuttgart Dataverse)","MTP .cfg zips + GM-NN .npz zips (+ INCAR, read_npz.py)",222 MB,CC BY 4.0,yes,"Paper's data-availability DOI; landing page says ~6000 configs in 10 train/test splits + OOD set vs 6711 in KG — check at assessment."
kumar2025,ds-TiCr2H-c15,Published,1019,https://doi.org/10.18419/DARUS-5169,"DaRUS (Univ. of Stuttgart Dataverse)","MTP .cfg + DFT energies/forces/stresses (database.zip) + fitted C15.mtp",94 MB (whole deposit; shared with C14),CC BY 4.0,yes,"One DaRUS deposit serves both kumar2025 entities; DOI from the published Acta Materialia version (arXiv v1 names DaRUS without DOI)."
